Name,Ingredients
Idly,"Idli rice, Urad dal, Fenugreek seeds, Salt, Water"
Dosa,"Rice flour, Urad dal, Fenugreek seeds, Salt, Water"
Masala Dosa,"Rice flour, Urad dal, Fenugreek seeds, Potatoes, Onions, Green chilies, Ginger, Turmeric powder, Mustard seeds, Curry leaves, Oil, Salt, Water"
Pongal,"Rice, Moong dal, Black pepper, Cumin seeds, Ginger, Ghee, Cashew nuts"
Vada,"Urad dal, Green chilies, Ginger, Curry leaves, Asafoetida, Salt, Oil"
Sambar,"Toor dal, Mixed vegetables (like carrots, beans, potatoes, drumsticks), Tamarind, Sambar powder, Turmeric powder, Asafoetida, Mustard seeds, Curry leaves, Dry red chilies, Oil, Salt, Water"
Paneer Tikka,"Paneer (Indian cottage cheese), Bell peppers, Onions, Yogurt, Ginger-garlic paste, Spices (like cumin powder, coriander powder, garam masala), Lemon juice, Oil, Salt"
Butter Chicken,"Chicken, Tomatoes, Onions, Ginger-garlic paste, Cream, Butter, Spices (like cumin powder, coriander powder, garam masala), Kasuri methi (dried fenugreek leaves), Cashew nuts, Lemon juice, Oil, Salt"
Aloo Paratha,"Whole wheat flour, Potatoes, Onions, Green chilies, Ginger, Coriander leaves, Spices (like cumin seeds, coriander powder), Oil, Salt"
Rajma,"Kidney beans, Onions, Tomatoes, Ginger, Garlic, Green chilies, Spices (like cumin seeds, coriander powder, garam masala), Kasuri methi (dried fenugreek leaves), Coriander leaves, Oil, Salt"
